i18n=>,TW,EN,KR,JP,CN
if_any_problem,若有任何問題請聯繫返多寶客服中心,"If you have any questions, please contact Fundobit Customer Service Center",관련된 문제가 발생할 경우 고객센터로 문의바랍니다.,ご不明な点がございましたら、Fundobit カスタマーサービスセンターまでお問い合わせください,若有任何问题请联繫返多宝客服中心
back_to_list,回到列表,Menu,목록으로 되돌아가기,リストへ戻る,回到列表
application_again,再申請一筆,Next Apply,다시 신청하기,再申請,再申请一笔
withdraw_coin_type,出金幣別,Type Of Currency,출금 종목,出金通貨,出金币别
enter_withdraw_coin_type,請輸入出金幣別,Please enter withdraw type of currency,출금 종목을 입력하세요,ご出金通貨を入力してください,请输入出金币别
enter_withdraw_amount,請輸入出金數量,Please enter withdraw amount,수량 입력하기,ご出金数を入力してください,请输入出金数量
exceeds_amount_withdrawn,超過可出金數量,Exceeds the amount of currency that can be withdrawn,출금 수량 초과,ご出金できる数を超え,超过可出金数量
less_min_withdraw,低於 {selectedCoinName} 最低出金數量 {coinminiAmount},Less than {selectedCoinName} minimum withdrawal amount {coinminiAmount},{selectedCoinName}최소출금수량 {coinminiAmount},より下 {selectedCoinName} 最低出金数 {coinminiAmount},低于 {selectedCoinName} 最低出金数量 {coinminiAmount}
application_success,申請成功,Apply Successful,신청완료,申請完了,申请成功
first_corporate,首家企業化的「返佣平台」及「論壇」 提供全方位返佣方案,"The first corporate to provide a full range of rebate solutions of ""Rebate Platform"" and ""Forum""",자사는 리베이트 플랫폼으로 독자적인 우호협력 모든 파트너들과 합리적인 방법으로 솔루션을 공급하고자 설립되었습니다.,実業家において第一社である「リベートシステム」、「フォーラム」をオールラウンドリベートプランを提供します,首家企业化的「返佣平台」及「论坛」提供全方位返佣方案
trade_rebate,「交易返佣、手續費返佣、推薦好友再返佣」,"Trade rebates, Commission rebates, Referral rebates","거래량 리베이트, 수수료 리베이트, 레퍼럴 리베이트",「取引リベート、手数料リベート、友達を招待したらまたリベート」,「交易返佣、手续费返佣、推荐好友再返佣」
rebate_process,返佣流程,Rebate Process,리베이트 절차관련,リベートの流れ,返佣流程
application_fdb_member,申請返多寶會員,Apply for Fundobit membership,회원신청,Fundobitの会員を申請する,申请返多宝会员
friends_invitation_code_commission,另外新增好友邀請碼可共同獲得反佣,You and your friends can get rebates with referral plan,함께 가입하고 함께 혜택받는 폭넓은 기회제공,友達の招待コードを追加、自分とお友達の両方ともリベートを貰える,另外新增好友邀请码可共同获得反佣
register_exchange_through_rebate_link,透過返多寶鏈結註冊交易所,Register the exchange through the Fundobit rebate link,거래소 가입절차 필요없이 단번에 해결하는 올인원플랫폼,Fundobitのリングを通して取引所を申し込み,透过返多宝链结注册交易所
exchange_uid_bind_member,將交易所UID與返多寶會員綁定,Connecting exchange UID with Fundobit member,귀하의 거래소 UID는 플랫폼 API와 상시 연동되어 있습니다.,UID取引所とFundobit会員をバインディングします,将交易所UID与返多宝会员绑定
receive_rebate,領取返佣,Receive commission,리베이트 회수하기,リベートを受け取る,领取返佣
view_commission_rebate_dashboard,檢視返佣儀表板，輸入錢包地址，申請出金,"View the commission rebate dashboard, enter the wallet address, and apply for withdrawal","리베이트 도표, 도식화 그래프 산출, 출금신청",リベートダッシュボードを検視、口座を入力して出金を申し込み,检视返佣仪表板，输入钱包地址，申请出金
rebate_guarantee,返佣保證,Rebate Promise,리베이트 보증,リベート保証,返佣保证
no_trading_conditions_required,成為返多寶用戶，不需要任何交易條件，即有40%交易返佣。,Fundobit members ONLY !!! Trading can get  40% commission rebate,거래수수료 40%로 업계 최상위 리베이트 혜택을 제공하며.,Fundobitの会員になったら取引条件は必要ありません。すぐ40%の取引リベートを貰える。,成为返多宝用户，不需要任何交易条件，即有40%交易返佣。
enjoy_another_ten_recommendation,返多寶邀請計畫，好友交易返佣再享10%推薦。,Fundobit Referral Plan，10% trading rebates.,이와 같은 레퍼럴 혜택 10%가 제공됩니다.,Fundobitの招待企画は友達の取引リベート更に10%還元,返多宝邀请计画，好友交易返佣再享10%推荐。
apply_account,申請開戶,Register,계정 생성하기,口座開設の申請,申请开户
rebate_subsidy_ratio,返多寶補貼比例,FUNDOBIT commission rebate ratio,가입 보너스,Fundobitの補助比率,返多宝补贴比例
refer_friends_rebate_ratio,推薦好友返佣比例,Referral rebate ratio,레퍼럴 수수수료,友達紹介のリベート比率,推荐好友返佣比例
official_agent_rebate_ratio,官方代理返佣比例,Official agent rebate ratio,파트너 리베이트,公式代理リベート比率,官方代理返佣比例
lever,槓桿,Leverage,레버리지,レバレッジ,槓杆
trading_pair,交易對,Market,거래대비,通貨,交易对
transaction_support,交易支持,Trade Support,거래지원,取引を支える,交易支持
futures,期貨,Futures,담보대출,先物取引,期货
average_transaction_volume,平均交易量,Volume,평균 거래량,平均取引量,平均交易量
asset_strength,資產實力,Asset,자산,資産実力,资产实力
billion_1,65.66 億,6.5 Billion,65.66 억,65.66 億,65.66 亿
bybit_advantage,Bybit 優勢,Bybit advantage,바이비트 우세,Bybit優勢,Bybit 优势
fair_transparent,公平透明,Openness and Transparency,거래안정성,公正透明,公平透明
mark_price_selects_real_time,標記價格選取 Coinbase、Bitstamp、Kraken（三大受美國證監會監管交易所）的實時成交價,"The mark price selects the real-time transaction prices of Coinbase, Bitstamp, and Kraken (the three major exchanges regulated by the US Securities Regulatory Commission)","코인베이스, 비트스탬프, 크라켄 거래평균시세",標記価額コインベース、ビットスタンプ、クラーケンを選ぶ(米国証券取引委員会SEC),标记价格选取 Coinbase、Bitstamp、Kraken（三大受美国证监会监管交易所）的实时成交价
market_depth_no_one,市場深度中國第一,Market Depth No. 1 in China,마켓뎁스 사용량 1위,マーケットの深みは中国ナンバーワン,市场深度中国第一
according_latest_statistics,根據最新統計數據，Bybit的平均前三個檔位盤口深度已遠超中國市場平均深度水準,"The mark price selects the real-time transaction prices of Coinbase, Bitstamp, and Kraken (the three major exchanges regulated by the US Securities Regulatory Commission)",최근 측정된 데이터에서 바이빗은 가상자산 마켓뎁스가 순위권 3위안에 등재되었다.,最新の統計によるとBybitは最初三ヶ月の平均ハンディキャップが中国マーケット平均レベルを超えました,根据最新统计数据，Bybit的平均前三个档位盘口深度已远超中国市场平均深度水准
flexible_leverage,彈性槓桿,Flexible leverage,격리마진,弾力レバレッジ,弹性槓杆
which_long_term_investment,提供1至100倍槓桿，且為永續合約，可長線投資,"Provide 1-100 times leverage, perpetual contract, long-term investment","100배 레버리지 제공, 무기한 계약을 통한 거래지속성",1から100倍までのレバレッジを提供し、協力は永続的なので長期投資ができます,提供1至100倍槓杆，且为永续合约，可长线投资
top_allocation_fund_security_system,頂配的資金安全體系,High-standard assets security system,안전성호환모듈,最高のセキュリティエコシステム,顶配的资金安全体系
platform_builds_industry_advanced,平台自建業內最領先的分層確定性冷錢包體系,The platform builds the industry's most advanced layered deterministic cold wallet system,플랫폼 레이어 구축,業界で最も先進的な階層化されたコールドウォレットシステム,平台自建业内最领先的分层确定性冷钱包体系
intelligent_ordering_system_support,智能下單系統支持,Intelligent ordering system support,스마트컨트랙 전송시스템,知能注文システムを支え,智能下单系统支持
set_profit_stop_loss_trailing,入場時直接設置止盈/止損及追踪止損，無需時刻盯盤,"Set profit/stop loss and trailing stop loss directly when entering the market, no need to watch the market all the time",인터페이스 없이 자동 포지션 지정가 손절/역지정 설정가능,寄り付き前に利益確保/損切りと損切りの追跡を直接設置できるので板をじっと見なくでも安心,入场时直接设置止盈/止损及追踪止损，无需时刻盯盘
flexible_fund_allocation,資金調配靈活,Flexible fund allocation,풍부한 자금유동성,資金移動をスムーズ,资金调配灵活
no_minimum_transaction_amount,無交易金額下限，即使資金不足也有機會投資,"There is no minimum transaction amount, even if the funds are insufficient, there is a chance to invest",최소한도금액 없이 투자가능,取引の最少額がありませんので、資金不足にも投資なチャンスがあります,无交易金额下限，即使资金不足也有机会投资
become_member_fdb,成為返多寶會員,Register Fundobit member,Fundobit 유저 등록 시,Fundobitの会員になる,成为返多宝会员
return_fdb_subsidize,返多寶再補貼給您交易手續費,Fundobit subsidizes you transaction fees,Fundobit 가입보너스 및 수수료 절감가능,Fundobitがまた取引手数料を補助してくれます,返多宝再补贴给您交易手续费
only_thing_reduce_transaction_costs,為您降低交易成本的只有「返多寶」,"The only thing that can reduce your transaction costs is ""Fundobit""",Fundobit를 통해 절감된 거래수수료 제공,お客様の取引コストを減らすのはFundobitだけ,为您降低交易成本的只有「返多宝」
enter_number_slot,請輸入{number}位數以上英數字,Please enter more than {number} digits alphanumeric,{number}자리 이상의 영문 및 숫자를 입력하세요,{number}文字以上半角英数字を入力してください,请输入{number}位数以上英数字
enter_en_number,輸入{number}位數以上，含英數字,"Enter more than {number} digits, including alphanumerics",영문과 숫자를 포함하여 {number}자리 이상이여야 합니다,{number}文字以上半角英数字を入力してください,输入{number}位数以上，含英数字
please_enter_user_name,請輸入使用者名稱,Please enter username,사용자명 입력,ユーザー名を入力してください,请输入使用者名称
cancelled,已取消,Cancelled,취소됨,キャンセルが完了,已取消
not_yet_selected_unbound,尚未選擇或未綁定,Enter withdraw address,이미 계정생성이 완료되었습니다.,まだ選択されていない、またはバインディングされていません,尚未选择或未绑定
please_check_your_email_receive,請至信箱收取認證信件或重新發送認證信，如仍有異常請聯繫客服團隊,"Please check your email to receive the certification letter or resend the certification letter. If there is still an abnormality, please contact the customer service team",우편함으로 인증메일을 확인하시고 문제가 있을 경우 고객지원팀으로 연락 주시기 바랍니다.,メールアドレスで確認コードを受信または確認コードを再発送する。もし何が異常かあるなら、サービスセンターにご聯絡ください,请至信箱收取认证信件或重新发送认证信，如仍有异常请联系客服团队
start_rebate,開始返佣,Referral Program,리베이트 적용하기,リベート開始,开始返佣
coopertion_bis,合作幣商,Industry Partners,파트너쉽 명단,コインディーラーとの提携,合作币商
billion_2,90.35 億,9 Billion,90.35 억,90.35 億,90.35 亿
i_have_read_and_agree,我已閱讀並同意FDB的 {service} 與 {privacy_policy},I have read and agree to FDB's {service} and {privacy_policy},나는 이미 FDB의 {service} 와 {privacy_policy} 을 읽고 동의했습니다.,FDB の {service} 及び {privacy_policy} に同意します,我已阅读并同意FDB的 {service} 与 {privacy_policy}
service,服務,Service,서비스,利用規約,服务
more_view,查看更多,more,더보기,続きを見る,查看更多
register_link,註冊連結,Registration,등록 링크,登録リンク,注册连结
enter_number_range,請輸入{0}-{1}數字,Please enter {0}-{1} numbers,{0}-{1}자리 숫자를 입력하세요,{0}-{1}の数字を入力してください,请输入{0}-{1}数字
